"ï..station_id"	"stationname"	"date"	"daytype"	"rides"
"61"	40890	"O'Hare Airport"	"12/26/2017"	"W"	11094
"75"	40350	"UIC-Halsted"	"12/08/2017"	"W"	7462
"114"	40350	"UIC-Halsted"	"12/30/2017"	"A"	837
"305"	40390	"Forest Park"	"12/13/2017"	"W"	3412
"398"	40350	"UIC-Halsted"	"12/13/2017"	"W"	5828
"429"	40390	"Forest Park"	"12/21/2017"	"W"	3182
"499"	40390	"Forest Park"	"12/14/2017"	"W"	3427
"539"	40890	"O'Hare Airport"	"12/01/2017"	"W"	12447
"558"	40390	"Forest Park"	"12/05/2017"	"W"	3564
"569"	40350	"UIC-Halsted"	"12/11/2017"	"W"	5614
"579"	40350	"UIC-Halsted"	"12/20/2017"	"W"	3072
"588"	40390	"Forest Park"	"12/23/2017"	"A"	1417
"600"	40390	"Forest Park"	"12/15/2017"	"W"	3188
"672"	40890	"O'Hare Airport"	"12/11/2017"	"W"	10136
"717"	40390	"Forest Park"	"12/16/2017"	"A"	1565
"723"	40390	"Forest Park"	"12/09/2017"	"A"	1835
"760"	40350	"UIC-Halsted"	"12/01/2017"	"W"	7718
"858"	40890	"O'Hare Airport"	"12/12/2017"	"W"	9406
"870"	40390	"Forest Park"	"12/11/2017"	"W"	3253
"951"	40390	"Forest Park"	"12/10/2017"	"U"	1122
"959"	40350	"UIC-Halsted"	"12/28/2017"	"W"	1575
"1031"	40350	"UIC-Halsted"	"12/04/2017"	"W"	7800
"1063"	40890	"O'Hare Airport"	"12/25/2017"	"U"	7244
"1187"	40350	"UIC-Halsted"	"12/19/2017"	"W"	3306
"1278"	40890	"O'Hare Airport"	"12/18/2017"	"W"	10813
"1335"	40390	"Forest Park"	"12/12/2017"	"W"	3310
"1356"	40890	"O'Hare Airport"	"12/29/2017"	"W"	10562
"1376"	40350	"UIC-Halsted"	"12/06/2017"	"W"	7813
"1461"	40390	"Forest Park"	"12/28/2017"	"W"	2180
"1471"	40350	"UIC-Halsted"	"12/29/2017"	"W"	1472
"1493"	40350	"UIC-Halsted"	"12/17/2017"	"U"	1321
"1544"	40890	"O'Hare Airport"	"12/22/2017"	"W"	9493
"1567"	40350	"UIC-Halsted"	"12/25/2017"	"U"	369
"1705"	40890	"O'Hare Airport"	"12/31/2017"	"U"	7361
"1852"	40350	"UIC-Halsted"	"12/15/2017"	"W"	5217
"1894"	40350	"UIC-Halsted"	"12/27/2017"	"W"	1347
"1945"	40390	"Forest Park"	"12/29/2017"	"W"	2302
"1954"	40890	"O'Hare Airport"	"12/16/2017"	"A"	8450
"1994"	40890	"O'Hare Airport"	"12/10/2017"	"U"	8994
"2054"	40350	"UIC-Halsted"	"12/05/2017"	"W"	7731
"2104"	40890	"O'Hare Airport"	"12/07/2017"	"W"	10554
"2122"	40890	"O'Hare Airport"	"12/24/2017"	"U"	6777
"2221"	40390	"Forest Park"	"12/24/2017"	"U"	997
"2326"	40350	"UIC-Halsted"	"12/02/2017"	"A"	2340
"2345"	40390	"Forest Park"	"12/25/2017"	"U"	632
"2369"	40890	"O'Hare Airport"	"12/15/2017"	"W"	11057
"2426"	40890	"O'Hare Airport"	"12/03/2017"	"U"	9308
"2534"	40350	"UIC-Halsted"	"12/31/2017"	"U"	800
"2548"	40390	"Forest Park"	"12/02/2017"	"A"	1620
"2675"	40390	"Forest Park"	"12/07/2017"	"W"	3504
"2691"	40890	"O'Hare Airport"	"12/19/2017"	"W"	10193
"2759"	40390	"Forest Park"	"12/20/2017"	"W"	3201
"2798"	40390	"Forest Park"	"12/18/2017"	"W"	3103
"2840"	40390	"Forest Park"	"12/30/2017"	"A"	1073
"2884"	40350	"UIC-Halsted"	"12/14/2017"	"W"	5493
"2889"	40390	"Forest Park"	"12/22/2017"	"W"	2766
"2938"	40890	"O'Hare Airport"	"12/27/2017"	"W"	11154
"2975"	40350	"UIC-Halsted"	"12/09/2017"	"A"	1947
"2996"	40350	"UIC-Halsted"	"12/22/2017"	"W"	2334
"3006"	40350	"UIC-Halsted"	"12/24/2017"	"U"	659
"3035"	40890	"O'Hare Airport"	"12/02/2017"	"A"	8542
"3040"	40390	"Forest Park"	"12/08/2017"	"W"	3418
"3211"	40890	"O'Hare Airport"	"12/06/2017"	"W"	9540
"3250"	40890	"O'Hare Airport"	"12/28/2017"	"W"	11141
"3374"	40350	"UIC-Halsted"	"12/07/2017"	"W"	7661
"3433"	40390	"Forest Park"	"12/19/2017"	"W"	3252
"3486"	40350	"UIC-Halsted"	"12/18/2017"	"W"	3216
"3596"	40390	"Forest Park"	"12/27/2017"	"W"	2101
"3607"	40390	"Forest Park"	"12/26/2017"	"W"	1800
"3646"	40350	"UIC-Halsted"	"12/16/2017"	"A"	1915
"3666"	40890	"O'Hare Airport"	"12/17/2017"	"U"	9018
"3681"	40390	"Forest Park"	"12/03/2017"	"U"	1312
"3709"	40890	"O'Hare Airport"	"12/14/2017"	"W"	10629
"3716"	40890	"O'Hare Airport"	"12/30/2017"	"A"	8847
"3737"	40890	"O'Hare Airport"	"12/21/2017"	"W"	9558
"3763"	40390	"Forest Park"	"12/01/2017"	"W"	3662
"3805"	40890	"O'Hare Airport"	"12/13/2017"	"W"	9306
"3824"	40890	"O'Hare Airport"	"12/04/2017"	"W"	9785
"3859"	40890	"O'Hare Airport"	"12/20/2017"	"W"	9799
"3922"	40390	"Forest Park"	"12/31/2017"	"U"	1075
"3958"	40890	"O'Hare Airport"	"12/09/2017"	"A"	8033
"3969"	40890	"O'Hare Airport"	"12/08/2017"	"W"	11875
"4074"	40350	"UIC-Halsted"	"12/12/2017"	"W"	5553
"4130"	40390	"Forest Park"	"12/04/2017"	"W"	3578
"4188"	40350	"UIC-Halsted"	"12/26/2017"	"W"	1019
"4191"	40350	"UIC-Halsted"	"12/23/2017"	"A"	997
"4225"	40350	"UIC-Halsted"	"12/10/2017"	"U"	1285
"4242"	40350	"UIC-Halsted"	"12/21/2017"	"W"	2718
"4279"	40390	"Forest Park"	"12/06/2017"	"W"	3533
"4335"	40890	"O'Hare Airport"	"12/23/2017"	"A"	7578
"4395"	40890	"O'Hare Airport"	"12/05/2017"	"W"	9669
"4423"	40350	"UIC-Halsted"	"12/03/2017"	"U"	1645
"4477"	40390	"Forest Park"	"12/17/2017"	"U"	1237
"4610"	40350	"UIC-Halsted"	"03/07/2018"	"W"	7467
"4625"	40390	"Forest Park"	"03/01/2018"	"W"	3353
"4631"	40390	"Forest Park"	"03/10/2018"	"A"	1400
"4645"	40350	"UIC-Halsted"	"02/04/2018"	"U"	1085
"4677"	40890	"O'Hare Airport"	"02/20/2018"	"W"	10017
"4694"	40350	"UIC-Halsted"	"02/13/2018"	"W"	7493
"4744"	40890	"O'Hare Airport"	"03/22/2018"	"W"	10836
"4842"	40350	"UIC-Halsted"	"03/04/2018"	"U"	1397
"4846"	40890	"O'Hare Airport"	"03/28/2018"	"W"	10298
"5087"	40390	"Forest Park"	"01/10/2018"	"W"	3163
"5089"	40350	"UIC-Halsted"	"03/08/2018"	"W"	7258
"5090"	40890	"O'Hare Airport"	"01/12/2018"	"W"	8264
"5116"	40390	"Forest Park"	"03/08/2018"	"W"	3307
"5130"	40390	"Forest Park"	"03/31/2018"	"A"	1420
"5186"	40350	"UIC-Halsted"	"02/02/2018"	"W"	6829
"5206"	40890	"O'Hare Airport"	"02/04/2018"	"U"	7315
"5329"	40350	"UIC-Halsted"	"01/20/2018"	"A"	2216
"5349"	40890	"O'Hare Airport"	"01/07/2018"	"U"	7228
"5465"	40350	"UIC-Halsted"	"01/08/2018"	"W"	2800
"5468"	40350	"UIC-Halsted"	"03/23/2018"	"W"	6685
"5499"	40350	"UIC-Halsted"	"02/28/2018"	"W"	7501
"5552"	40350	"UIC-Halsted"	"03/01/2018"	"W"	7118
"5581"	40390	"Forest Park"	"03/20/2018"	"W"	3340
"5666"	40890	"O'Hare Airport"	"01/25/2018"	"W"	9090
"5715"	40890	"O'Hare Airport"	"01/16/2018"	"W"	7774
"5848"	40390	"Forest Park"	"03/18/2018"	"U"	1099
"5851"	40890	"O'Hare Airport"	"03/21/2018"	"W"	9427
"5866"	40890	"O'Hare Airport"	"01/14/2018"	"U"	6114
"5914"	40890	"O'Hare Airport"	"01/04/2018"	"W"	8278
"5948"	40350	"UIC-Halsted"	"03/11/2018"	"U"	1376
"5991"	40890	"O'Hare Airport"	"02/12/2018"	"W"	10257
"6046"	40350	"UIC-Halsted"	"01/18/2018"	"W"	7420
"6132"	40390	"Forest Park"	"03/16/2018"	"W"	3237
"6141"	40890	"O'Hare Airport"	"03/01/2018"	"W"	9506
"6155"	40350	"UIC-Halsted"	"02/24/2018"	"A"	2185
"6162"	40350	"UIC-Halsted"	"03/20/2018"	"W"	7017
"6184"	40390	"Forest Park"	"01/31/2018"	"W"	3345
"6229"	40890	"O'Hare Airport"	"02/26/2018"	"W"	10061
"6252"	40350	"UIC-Halsted"	"02/21/2018"	"W"	7634
"6276"	40390	"Forest Park"	"03/26/2018"	"W"	2983
"6324"	40890	"O'Hare Airport"	"03/16/2018"	"W"	13995
"6330"	40350	"UIC-Halsted"	"01/10/2018"	"W"	3168
"6526"	40390	"Forest Park"	"01/05/2018"	"W"	2523
"6596"	40890	"O'Hare Airport"	"01/08/2018"	"W"	9362
"6656"	40890	"O'Hare Airport"	"02/16/2018"	"W"	11521
"6744"	40350	"UIC-Halsted"	"01/03/2018"	"W"	2249
"6752"	40350	"UIC-Halsted"	"03/25/2018"	"U"	1430
"6793"	40350	"UIC-Halsted"	"03/19/2018"	"W"	7067
"6808"	40350	"UIC-Halsted"	"01/14/2018"	"U"	1218
"6827"	40350	"UIC-Halsted"	"03/09/2018"	"W"	6909
"6850"	40390	"Forest Park"	"01/02/2018"	"W"	2275
"6869"	40350	"UIC-Halsted"	"02/03/2018"	"A"	1769
"6908"	40390	"Forest Park"	"03/28/2018"	"W"	3202
"6989"	40390	"Forest Park"	"03/07/2018"	"W"	3373
"7039"	40390	"Forest Park"	"02/03/2018"	"A"	1172
"7083"	40350	"UIC-Halsted"	"02/09/2018"	"W"	3640
"7183"	40350	"UIC-Halsted"	"01/22/2018"	"W"	7505
"7210"	40890	"O'Hare Airport"	"03/07/2018"	"W"	9193
"7216"	40890	"O'Hare Airport"	"02/17/2018"	"A"	7786
"7320"	40390	"Forest Park"	"02/12/2018"	"W"	2946
"7332"	40390	"Forest Park"	"01/14/2018"	"U"	1059
"7434"	40390	"Forest Park"	"01/26/2018"	"W"	3235
"7504"	40350	"UIC-Halsted"	"02/20/2018"	"W"	7203
"7520"	40350	"UIC-Halsted"	"03/10/2018"	"A"	2061
"7538"	40390	"Forest Park"	"03/29/2018"	"W"	3188
"7577"	40890	"O'Hare Airport"	"03/11/2018"	"U"	9449
"7626"	40390	"Forest Park"	"03/19/2018"	"W"	3255
"7679"	40350	"UIC-Halsted"	"03/27/2018"	"W"	3200
"7712"	40350	"UIC-Halsted"	"03/30/2018"	"W"	2701
"7759"	40390	"Forest Park"	"01/12/2018"	"W"	2929
"7805"	40890	"O'Hare Airport"	"01/01/2018"	"U"	8226
"7848"	40350	"UIC-Halsted"	"01/25/2018"	"W"	7505
"7859"	40350	"UIC-Halsted"	"03/12/2018"	"W"	7260
"7876"	40390	"Forest Park"	"03/13/2018"	"W"	3396
"7985"	40890	"O'Hare Airport"	"02/14/2018"	"W"	8724
"8081"	40390	"Forest Park"	"02/16/2018"	"W"	3156
"8112"	40390	"Forest Park"	"01/11/2018"	"W"	3278
"8280"	40390	"Forest Park"	"01/18/2018"	"W"	3281
"8369"	40890	"O'Hare Airport"	"01/11/2018"	"W"	7996
"8404"	40390	"Forest Park"	"02/20/2018"	"W"	3384
"8525"	40350	"UIC-Halsted"	"03/17/2018"	"A"	3027
"8597"	40390	"Forest Park"	"01/30/2018"	"W"	3333
"8601"	40890	"O'Hare Airport"	"03/15/2018"	"W"	12314
"8632"	40350	"UIC-Halsted"	"03/28/2018"	"W"	3198
"8648"	40350	"UIC-Halsted"	"02/18/2018"	"U"	1362
"8804"	40890	"O'Hare Airport"	"02/22/2018"	"W"	9912
"8822"	40890	"O'Hare Airport"	"01/18/2018"	"W"	7490
"9131"	40350	"UIC-Halsted"	"03/18/2018"	"U"	1532
"9301"	40890	"O'Hare Airport"	"03/09/2018"	"W"	10942
"9388"	40390	"Forest Park"	"03/12/2018"	"W"	3245
"9396"	40390	"Forest Park"	"01/29/2018"	"W"	3238
"9459"	40390	"Forest Park"	"02/04/2018"	"U"	959
"9519"	40890	"O'Hare Airport"	"03/05/2018"	"W"	9879
"9530"	40890	"O'Hare Airport"	"02/09/2018"	"W"	9127
"9539"	40890	"O'Hare Airport"	"03/24/2018"	"A"	8995
"9619"	40390	"Forest Park"	"02/18/2018"	"U"	1060
"9653"	40390	"Forest Park"	"03/06/2018"	"W"	3316
"9668"	40890	"O'Hare Airport"	"02/10/2018"	"A"	7658
"9695"	40350	"UIC-Halsted"	"02/05/2018"	"W"	6982
"9747"	40350	"UIC-Halsted"	"02/08/2018"	"W"	7342
"9771"	40390	"Forest Park"	"01/08/2018"	"W"	2987
"9774"	40390	"Forest Park"	"02/08/2018"	"W"	3245
"9821"	40390	"Forest Park"	"02/01/2018"	"W"	3282
"9869"	40890	"O'Hare Airport"	"03/04/2018"	"U"	8795
"10002"	40890	"O'Hare Airport"	"01/22/2018"	"W"	9193
"10016"	40390	"Forest Park"	"01/09/2018"	"W"	3126
"10062"	40390	"Forest Park"	"02/10/2018"	"A"	1141
"10097"	40350	"UIC-Halsted"	"02/19/2018"	"W"	6488
"10109"	40890	"O'Hare Airport"	"02/23/2018"	"W"	10450
"10116"	40390	"Forest Park"	"01/28/2018"	"U"	1077
"10137"	40390	"Forest Park"	"03/22/2018"	"W"	3428
"10142"	40890	"O'Hare Airport"	"03/03/2018"	"A"	8166
"10163"	40890	"O'Hare Airport"	"02/25/2018"	"U"	8639
"10248"	40390	"Forest Park"	"01/19/2018"	"W"	3239
"10305"	40350	"UIC-Halsted"	"03/29/2018"	"W"	3085
"10476"	40350	"UIC-Halsted"	"01/15/2018"	"W"	2004
"10486"	40390	"Forest Park"	"01/03/2018"	"W"	2625
